Rank,Projection Score,PositionComposite,AgeMultiplier,LeagueMultiplier,Player,Nation,Pos,Squad,25/26 Lg,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Fls,Fld,Off,Crs,Int,TklW,Accurate passes per 90,Chances Created
1,100.0,83.1,1.15,0.85,Konstantinos Karetsas,Greece,FW,Dortmund,BEL First Division,18,2007,45,35,2964,32.9,2,14,16,2,0,0,4,0,30.0,82.0,7.0,215.0,12.0,20.0,32.6,66.0
2,99.1,84.2,1.0,1.05,Afonso Moreira,Portugal,FW,Leverkusen,Ligue 1,21,2005,37,18,1722,19.1,8,10,11,4,0,0,3,0,27.0,57.0,4.0,119.0,12.0,22.0,34.0,33.0
3,71.9,72.0,1.0,1.05,Tom Bischof,Germany,FB,Bayern Munich,Bundesliga,21,2005,26,14,1302,14.5,3,3,6,3,0,0,2,0,15.0,9.0,1.0,26.0,15.0,18.0,75.7,24.0
4,64.9,51.2,1.15,1.05,Said El Mala,Germany,FW,Köln,Bundesliga,19,2006,34,20,1956,21.7,13,4,17,12,1,1,4,0,15.0,23.0,18.0,39.0,8.0,14.0,11.6,21.0
5,63.1,70.1,0.95,1.05,Nnamdi Collins,Germany,CB,Frankfurt,Bundesliga,22,2004,23,16,1500,16.7,1,2,3,1,0,0,4,0,22.0,19.0,0.0,4.0,24.0,38.0,56.7,3.0
6,63.0,59.5,1.0,1.05,Antonio Nusa,Norway,FW,RB Leipzig,Bundesliga,21,2005,31,24,2027,22.5,4,3,7,4,0,0,0,0,9.0,64.0,1.0,68.0,7.0,14.0,20.7,33.0
7,54.5,45.6,1.225,1.05,Lennart Karl,Germany,MF,Bayern Munich,Bundesliga,18,2008,26,16,1281,14.2,5,5,10,5,0,0,1,0,5.0,11.0,4.0,29.0,11.0,15.0,49.2,23.0
8,51.4,50.8,1.0,1.05,Conrad Harder,Denmark,FW,RB Leipzig,Bundesliga,21,2005,29,8,932,10.4,3,3,6,3,0,0,3,0,21.0,18.0,4.0,13.0,7.0,6.0,13.5,14.0
9,50.8,47.9,1.05,1.05,Christian Kofane,Cameroon,FW,Leverkusen,Bundesliga,20,2006,29,12,1239,13.8,5,4,9,5,0,0,3,0,30.0,17.0,3.0,0.0,2.0,7.0,12.2,17.0
10,49.5,61.0,1.15,0.85,Joane Gadou,France,CB,Dortmund,Aut Bundesliga,19,2007,19,18,1572,17.5,0,0,0,0,0,0,4,2,20.0,1.0,0.0,0.0,29.0,28.0,56.9,4.0
11,48.5,43.1,1.15,1.05,Abdoul Coulibaly,Germany,CB,Werder Bremen,Bundesliga,19,2007,27,24,2120,23.6,1,0,1,1,0,0,5,1,18.0,9.0,1.0,13.0,24.0,14.0,52.8,7.0
12,48.4,47.1,1.05,1.05,Adam Daghim,Denmark,FW,Hoffenheim,Bundesliga,20,2005,27,12,1364,15.2,2,3,5,2,0,0,3,0,18.0,23.0,4.0,20.0,11.0,20.0,17.6,18.0
13,48.2,49.7,1.05,1.05,Finn Jeltsch,Germany,CB,Stuttgart,Bundesliga,20,2006,23,17,1511,16.8,0,1,1,0,0,0,3,0,13.0,16.0,3.0,3.0,19.0,14.0,56.7,5.0
14,47.9,45.1,1.15,1.05,Noahkai Banks,United States,CB,Augsburg,Bundesliga,19,2006,23,20,1725,19.2,1,1,2,1,0,0,8,0,29.0,18.0,3.0,4.0,18.0,29.0,41.4,7.0
15,47.1,53.0,1.15,1.05,Montrell Culbreath,Germany,FB,Leverkusen,Bundesliga,19,2007,12,9,736,8.2,1,0,1,1,0,0,0,0,5.0,11.0,0.0,24.0,8.0,16.0,42.3,6.0
16,46.7,51.3,0.975,1.05,Aleksandar Pavlovic,Germany,MF,Bayern Munich,Bundesliga,22,2004,24,16,1462,16.2,3,1,4,3,0,0,2,0,19.0,10.0,0.0,15.0,13.0,15.0,93.0,21.0
17,46.3,49.6,1.15,1.05,Kacper Potulski,Poland,CB,Mainz 05,Bundesliga,19,2007,15,9,1065,11.8,1,0,1,1,0,0,3,0,17.0,5.0,0.0,2.0,19.0,15.0,42.3,2.0
18,46.1,54.9,1.15,1.05,Bara Sapoko Ndiaye,Senegal,MF,Bayern Munich,Bundesliga,19,2007,4,2,143,1.6,0,0,0,0,0,0,0,0,1.0,3.0,0.0,1.0,2.0,5.0,32.3,15.0
19,45.8,50.5,1.05,0.85,Mats Rots,Netherlands,FB,Hoffenheim,Eredivisie,20,2006,34,34,2949,32.8,4,4,8,4,0,0,4,0,27.0,28.0,3.0,82.0,39.0,52.0,34.6,51.0
20,45.0,65.9,0.95,0.7,Chuki,Spain,FW,Werder Bremen,Segunda Liga (ESP),22,2004,35,26,2424,26.9,7,7,14,6,1,1,4,0,42.0,55.0,11.0,176.0,11.0,15.0,17.4,45.0
21,45.0,60.6,0.95,1.05,Max Finkgräfe,Germany,FB,RB Leipzig,Bundesliga,22,2004,13,5,504,5.6,1,1,2,1,0,0,2,0,3.0,4.0,0.0,37.0,8.0,12.0,42.3,12.0
22,44.8,54.8,1.0,0.95,Otavio,Brazil,CB,Frankfurt,Liga Portugal,21,2005,22,17,1353,15.0,0,1,1,0,0,0,5,0,27.0,15.0,0.0,5.0,38.0,25.0,30.5,4.0
23,43.5,47.4,0.975,1.05,Bilal El Khannouss,Morocco,MF,Stuttgart,Bundesliga,22,2004,25,19,1630,18.1,4,5,9,4,0,0,6,0,19.0,9.0,1.0,65.0,10.0,21.0,41.3,45.0
24,43.5,50.0,1.0,0.85,Alessandro Vogt,Switzerland,FW,Hoffenheim,Swiss Super League,21,2005,35,31,2292,25.5,15,3,18,14,1,1,6,0,54.0,45.0,7.0,17.0,0.0,11.0,4.9,23.0
25,43.3,47.8,0.95,1.05,Samuel Mbangula,Belgium,LW,Werder Bremen,Bundesliga,22,2004,26,12,1171,13.0,3,2,5,3,0,0,0,0,4.0,23.0,4.0,23.0,3.0,10.0,32.2,14.0
26,43.0,47.7,1.0,0.85,Keisuke Goto,Japan,FW,Freiburg,BEL First Division,21,2005,38,32,2878,32.0,12,8,18,9,2,2,5,0,37.0,33.0,25.0,3.0,10.0,22.0,12.8,30.0
27,42.9,45.6,1.3,1.05,Luca Reggiani,Italy,CB,Dortmund,Bundesliga,18,2008,8,6,511,5.7,1,0,1,1,0,0,2,0,4.0,2.0,0.0,1.0,2.0,10.0,42.3,2.0
28,42.0,51.4,1.0,1.05,Hannes Behrens,Germany,FB,Augsburg,Bundesliga,21,2005,16,15,1318,14.6,1,2,3,1,0,0,0,0,5.0,27.0,1.0,59.0,18.0,18.0,42.3,6.0
29,40.8,44.1,0.95,1.05,Anton Kade,Germany,FW,Augsburg,Bundesliga,22,2004,28,18,1743,19.4,6,0,6,6,0,0,3,0,20.0,18.0,10.0,22.0,13.0,14.0,16.9,26.0
30,40.1,45.7,1.0,1.05,Tom Rothe,Germany,CB,Union Berlin,Bundesliga,21,2004,21,10,1029,11.4,2,0,2,2,0,0,1,1,10.0,6.0,2.0,35.0,21.0,15.0,24.3,11.0
31,38.6,48.6,1.0,1.05,Fabio Chiarodia,Italy,CB,Gladbach,Bundesliga,21,2005,15,8,674,7.5,0,0,0,0,0,0,1,0,8.0,1.0,0.0,0.0,13.0,9.0,42.3,1.0
32,38.4,43.0,0.925,1.05,Bilal Nadir,Morocco,MF,Hamburger SV,Ligue 1,23,2003,28,7,876,9.7,1,5,6,1,0,0,6,1,29.0,8.0,1.0,13.0,9.0,16.0,51.1,11.0
33,37.4,35.1,1.05,1.05,Arijon Ibrahimović,Germany,MF,Bayern Munich,Bundesliga,20,2005,32,25,2169,24.1,2,4,6,1,1,1,2,0,13.0,27.0,5.0,127.0,23.0,18.0,24.2,56.0
34,37.4,44.0,1.15,1.05,Alexander Røssing-Lelesiit,Norway,FW,Hamburger SV,Bundesliga,19,2007,11,5,321,3.6,0,1,1,0,0,0,3,1,13.0,7.0,1.0,4.0,1.0,2.0,16.0,6.0
35,36.9,44.5,1.0,1.05,Livan Burcu,Turkey,FW,Union Berlin,Bundesliga,21,2004,18,6,651,7.2,1,1,2,1,0,0,4,0,6.0,14.0,1.0,15.0,2.0,7.0,23.2,9.0
36,36.8,44.4,1.0,1.05,Bruno Ogbus,Switzerland,FB,Freiburg,Bundesliga,21,2005,18,14,1177,13.1,0,0,0,0,0,0,1,0,5.0,11.0,0.0,3.0,13.0,16.0,43.4,1.0
37,36.4,40.0,1.05,1.05,Can Uzun,Turkey,MF,Frankfurt,Bundesliga,20,2005,21,15,1156,12.8,8,4,12,7,1,1,3,0,15.0,26.0,0.0,24.0,3.0,9.0,37.4,20.0
38,35.7,58.1,0.95,0.7,Mattes Hansen,Germany,CB,Paderborn,2 Lg,22,2004,29,19,1721,19.1,0,1,1,0,0,0,7,1,24.0,13.0,1.0,13.0,32.0,28.0,52.8,16.0
39,35.6,36.8,1.025,1.05,Jean Mattéo Bahoya,France,MF,Frankfurt,Bundesliga,21,2005,27,15,1331,14.8,3,4,7,3,0,0,2,0,13.0,22.0,3.0,33.0,12.0,14.0,24.2,31.0
40,34.9,36.7,1.025,1.05,Arthur Vermeeren,Belgium,MF,RB Leipzig,Ligue 1,21,2005,26,10,828,9.2,0,2,1,0,0,0,1,1,15.0,1.0,0.0,3.0,11.0,11.0,55.3,11.0
41,34.7,39.7,1.0,1.05,Jeanuël Belocian,France,CB,Leverkusen,Bundesliga,21,2005,22,17,1546,17.1,0,1,1,0,0,0,3,0,23.0,13.0,0.0,8.0,18.0,19.0,37.6,5.0
42,34.7,35.9,0.95,1.05,Ilyas Ansah,Germany,FW,Union Berlin,Bundesliga,22,2004,33,23,1892,21.0,5,1,6,5,0,0,1,0,21.0,43.0,9.0,19.0,4.0,9.0,10.6,16.0
43,34.4,36.8,1.025,1.05,Chema Andres,Spain,MF,Stuttgart,Bundesliga,21,2005,25,14,1310,14.6,3,0,3,3,0,0,5,0,20.0,8.0,1.0,0.0,31.0,16.0,42.5,15.0
44,34.3,42.4,1.15,1.05,Andrija Maksimović,Serbia,FW,RB Leipzig,Bundesliga,19,2007,8,0,93,1.0,0,0,0,0,0,0,0,0,1.0,2.0,0.0,2.0,0.0,0.0,16.0,3.0
45,34.2,44.6,0.95,1.05,Ayoube Amaimouni,Morocco,FW,Frankfurt,Bundesliga,22,2004,17,6,586,6.5,2,3,5,2,0,0,1,0,8.0,10.0,6.0,30.0,2.0,5.0,15.1,6.0
46,34.0,46.6,1.0,1.05,El Chadaille Bitshiabu,France,CB,RB Leipzig,Bundesliga,21,2005,11,8,655,7.3,0,0,0,0,0,0,0,0,4.0,0.0,0.0,0.0,6.0,6.0,58.1,2.0
47,33.6,33.7,1.05,1.05,Ibrahim Maza,Algeria,MF,Leverkusen,Bundesliga,20,2005,28,20,1849,20.5,3,4,7,3,0,0,2,0,19.0,36.0,3.0,64.0,16.0,24.0,36.0,28.0
48,33.4,34.3,1.0,1.05,Dženan Pejčinović,Germany,FW,Stuttgart,Bundesliga,21,2005,30,16,1460,16.2,8,0,8,8,0,0,1,0,22.0,7.0,5.0,5.0,5.0,9.0,16.0,13.0
49,33.1,51.6,1.3,0.7,Kaua Prates,Brazil,FB,Dortmund,BRA Serie A,18,2008,12,5,606,4.2,1,0,1,1,0,0,1,0,5.0,1.0,1.0,11.0,3.0,9.0,42.3,6.0
50,33.1,35.3,0.95,1.05,Leopold Querfeld,Austria,CB,Union Berlin,Bundesliga,22,2003,31,30,2705,30.1,3,0,3,1,2,3,7,0,46.0,28.0,0.0,3.0,35.0,27.0,32.4,21.0
51,32.1,47.2,1.0,0.7,Berkay Yilmaz,Turkey,FB,Freiburg,2 Lg,21,2005,34,33,3018,33.5,1,8,9,1,0,0,7,0,29.0,78.0,3.0,148.0,32.0,54.0,32.5,43.0
52,32.0,48.5,1.05,0.7,Farid Alfa-Ruprecht,Germany,FW,Leverkusen,2 Lg,20,2006,28,13,1226,13.6,3,3,5,3,0,0,4,0,25.0,9.0,6.0,51.0,7.0,9.0,18.8,22.0
53,31.9,30.6,1.05,1.05,Jobe Bellingham,England,MF,Dortmund,Bundesliga,20,2005,32,20,1786,19.8,0,1,1,0,0,0,2,1,15.0,20.0,0.0,5.0,41.0,23.0,46.2,9.0
54,31.8,35.1,1.05,1.05,Max Moerstedt,Germany,FW,Hoffenheim,Bundesliga,20,2006,22,1,420,4.7,2,0,2,2,0,0,2,0,14.0,10.0,3.0,4.0,0.0,3.0,17.3,2.0
55,31.6,41.7,1.05,1.05,Jahmai Simpson-Pusey,England,CB,Köln,Bundesliga,20,2005,11,10,863,9.6,0,0,0,0,0,0,2,1,4.0,4.0,0.0,2.0,12.0,8.0,42.3,2.0
56,31.5,47.6,0.975,0.7,Martin Adeline,France,MF,Hamburger SV,Ligue 2,22,2003,34,32,2567,28.5,11,11,22,11,0,0,5,1,72.0,26.0,6.0,25.0,21.0,31.0,32.1,62.0
57,31.3,52.7,0.95,0.85,Elias Bakatukanda,Germany,CB,Köln,Aut Bundesliga,22,2004,15,14,1275,14.2,0,0,0,0,0,0,1,0,15.0,4.0,0.0,2.0,24.0,22.0,42.3,3.0
58,31.0,43.7,1.05,0.85,Leo Sauer,Slovakia,FW,Stuttgart,Eredivisie,20,2005,20,17,1413,15.7,3,2,5,3,0,0,1,0,15.0,20.0,9.0,29.0,5.0,8.0,18.0,21.0
59,31.0,49.6,1.0,0.7,Abdoul Kone,France,CB,RB Leipzig,Ligue 2,21,2005,28,25,2247,25.0,1,1,2,1,0,0,9,1,30.0,39.0,0.0,3.0,25.0,23.0,58.3,4.0
60,30.4,45.1,0.975,1.05,Umut Tohumcu,Germany,MF,Hoffenheim,Bundesliga,22,2004,5,1,136,1.5,0,0,0,0,0,0,2,0,2.0,2.0,0.0,1.0,0.0,1.0,32.3,12.0
61,30.4,54.0,1.0,0.7,Julian Pauli,England,CB,Köln,2 Lg,21,2005,21,21,1793,19.9,0,1,1,0,0,0,3,0,18.0,11.0,0.0,2.0,30.0,26.0,49.2,6.0
62,30.4,36.7,0.95,1.05,Lukas Ullrich,Germany,FB,Gladbach,Bundesliga,22,2004,23,14,1305,14.5,0,0,0,0,0,0,2,0,17.0,11.0,1.0,38.0,21.0,17.0,26.1,14.0
63,30.3,32.8,0.975,1.05,Ernest Poku,Netherlands,MF,Leverkusen,Bundesliga,22,2004,29,16,1482,16.5,5,5,10,5,0,0,0,0,4.0,17.0,3.0,13.0,8.0,9.0,28.1,27.0
64,29.9,30.8,0.975,1.05,Leon Avdullahu,Kosovo,MF,Hoffenheim,Bundesliga,22,2004,33,32,2834,31.5,0,1,1,0,0,0,5,0,27.0,12.0,1.0,15.0,33.0,30.0,58.3,22.0
65,29.6,40.9,1.05,1.05,Salim Musah,Germany,FW,Werder Bremen,Bundesliga,20,2006,8,2,198,2.2,1,0,1,1,0,0,0,0,4.0,3.0,1.0,1.0,2.0,1.0,16.0,3.0
66,29.5,40.8,1.05,1.05,Cole Campbell,United States,FW,SV Elversberg,Bundesliga,20,2006,6,0,96,1.1,0,0,0,0,0,0,0,0,0.0,1.0,0.0,5.0,0.0,0.0,16.0,3.0
67,29.4,48.6,1.05,0.65,Keita Kosugi,Japan,FB,Frankfurt,Allsvenskan,20,2006,28,27,2347,26.1,0,5,5,0,0,0,4,0,33.0,47.0,0.0,142.0,29.0,44.0,34.9,49.0
68,29.3,46.9,1.05,0.7,Dariusz Stalmach,Poland,MF,Werder Bremen,2 Lg,20,2005,25,8,942,10.5,2,3,5,2,0,0,5,0,25.0,17.0,1.0,4.0,16.0,26.0,32.3,19.0
69,29.1,40.4,1.05,1.05,Elias Baum,Germany,FB,Frankfurt,Bundesliga,20,2005,5,0,75,0.8,0,0,0,0,0,0,0,0,3.0,0.0,0.0,4.0,1.0,0.0,42.3,1.0
70,29.0,36.9,0.95,1.05,Keke Topp,Germany,FW,Werder Bremen,Bundesliga,22,2004,20,7,638,7.1,1,1,2,1,0,0,4,0,16.0,7.0,2.0,5.0,1.0,5.0,20.3,8.0
71,28.6,40.2,0.95,1.05,Rav van den Berg,Netherlands,CB,Köln,Bundesliga,22,2004,14,12,1131,12.6,0,1,1,0,0,0,0,1,10.0,3.0,1.0,1.0,14.0,8.0,42.3,1.0
72,28.0,31.3,1.025,1.05,Ezechiel Banzuzi,Netherlands,MF,RB Leipzig,Bundesliga,21,2005,24,2,597,6.6,0,1,1,0,0,0,3,0,14.0,7.0,0.0,5.0,6.0,10.0,37.7,7.0
